Outcome,MAE,RMSE
Social_Security,84.03282581154939,94.70159120448746
Social_Security_(GDP),0.6993181269280302,0.7541201710890857
Medicare,36.99044958033798,45.7012155368832
Medicare_(GDP),0.28864530271686356,0.3219431655513669
Medicaid,106.80070678723573,122.92555172293685
Medicaid_(GDP),0.4491685316712654,0.49842498200296625
Income_security,123.30871724189065,137.82357853569874
Income_security_(GDP),0.48308889023870577,0.6396256799389328
Major_health_care_programs_(GDP),1.0524210292731115,1.1428374382186088
All_Families_Below_Poverty_(With_and_Without_Children)_Percent,1.1303233842705636,1.3694042892677687
All_Families_Below_Poverty_(Without_Children)_Percent,2.3178373740243883,2.7244888176143216
Male_Total_Below_Poverty_Percent,1.4878859690141832,1.7875071860489071
Male_Under_18_Below_Poverty_Percent,2.794840328789291,3.2870560457437574
Male_18_to_64_Below_Poverty_Percent,1.375826382280678,1.6232892217304402
Male_64_and_Over_Below_Poverty_Percent,1.1059628461912274,1.3076223354965173
Female_Total_Below_Poverty_Percent,2.0487675428367056,2.310567476978347
Female_Under_18_Below_Poverty_Percent,2.8031489008176127,3.253788123052617
Female_18_to_64_Below_Poverty_Percent,1.9844945101866913,2.2723565533038323
Female_64_and_Over_Below_Poverty_Percent,0.6291468747195647,0.8560228838259177
Age-adjusted_Death_Rate_AllRaces_BothSexes,18.14047614968772,25.52369486987089
Age-adjusted_Death_Rate_AllRaces_Female,8.601801934878806,10.054956685806639
Age-adjusted_Death_Rate_AllRaces_Male,32.20658806821966,44.40340847108784
Age-adjusted_Death_Rate_Black_BothSexes,59.54011576377433,62.64511685611305
Age-adjusted_Death_Rate_Black_Female,46.34712968402383,48.643451525729205
Age-adjusted_Death_Rate_Black_Male,101.26423767674783,106.4666575099944
Age-adjusted_Death_Rate_White_BothSexes,19.675173659555693,26.79771685299717
Age-adjusted_Death_Rate_White_Female,8.019284736920627,9.034088980804997
Age-adjusted_Death_Rate_White_Male,41.86751287069614,54.741087026878034
Average_Life_Expectancy_(Years)_AllRaces_BothSexes,0.3313919352242865,0.47045200507027607
Average_Life_Expectancy_(Years)_AllRaces_Female,0.2178014776745569,0.2300132428819784
Average_Life_Expectancy_(Years)_AllRaces_Male,0.3862725844707985,0.5766828967092771
Average_Life_Expectancy_(Years)_Black_BothSexes,0.8785217237220219,0.9302944019696037
Average_Life_Expectancy_(Years)_Black_Female,0.35978429825012176,0.41310170195911033
Average_Life_Expectancy_(Years)_Black_Male,1.1316345416987033,1.2100301969614227
Average_Life_Expectancy_(Years)_White_BothSexes,0.4116101517797171,0.593639705514512
Average_Life_Expectancy_(Years)_White_Female,0.1717818879691619,0.21205714144352447
Average_Life_Expectancy_(Years)_White_Male,0.5360421762722893,0.7628911224585486
